,model,selling_price,mileage
6929,2009 Tata Indigo CS LS (TDI) BS III,160000,19.09 kmpl
6930,2014 Tata Indica Vista TDI LS,250000,19.1 kmpl
6931,2012 Chevrolet Beat Diesel LT,225000,25.44 kmpl
6932,2007 Tata Indica V2 2001-2011 DLS BSIII,55000,17.88 kmpl
6933,1996 Maruti 800 AC,42000,16.1 kmpl
6934,2012 Tata Indica Vista Aqua 1.3 Quadrajet (ABS),250000,
6935,2006 Hyundai Tucson CRDi,282000,12.6 kmpl
6936,2007 Tata Indica V2 DLS TC,80000,16.8 kmpl
6937,2016 Maruti Swift Dzire VXI,500000,20.85 kmpl
6938,2016 Ford Figo Aspire 1.5 TDCi Ambiente,500000,25.83 kmpl
6939,2011 Maruti Swift VDI,400000,22.9 kmpl
6940,2013 Mahindra Bolero 2011-2019 SLX,550000,15.96 kmpl
6941,2007 Tata New Safari Dicor LX 4X2 BS IV,200000,13.93 kmpl
6942,2012 Hyundai i10 Sportz,280000,20.36 kmpl
6943,2014 Maruti Swift Dzire VDI,580000,23.4 kmpl
6944,2009 Tata Manza Aura (ABS) Quadrajet,100000,18.8 kmpl
6945,2014 Mahindra Scorpio EX,550000,14.0 kmpl
6946,2017 Mahindra TUV 300 T4 Plus,700000,18.49 kmpl
6947,2010 Tata Manza Aqua Safire,150000,15.0 kmpl
6948,2014 Hyundai EON Magna Plus,190000,21.1 kmpl
6949,2013 Mahindra Bolero 2011-2019 SLE,500000,15.96 kmpl
6950,2017 Maruti Swift VDI BSIV,640000,25.2 kmpl
6951,2011 Skoda Fabia 1.2L Diesel Elegance,340000,20.86 kmpl
6952,2019 Hyundai Elite i20 Asta Option Diesel,811000,22.54 kmpl
6953,2016 Maruti Ritz LDi,409999,23.2 kmpl
6954,2007 Maruti Swift Lxi BSIII,220000,16.1 kmpl
6955,2013 Tata Indica V2 DLS BSIII,170000,17.88 kmpl
6956,2018 Hyundai Elite i20 Petrol Asta Option,700000,18.6 kmpl
6957,2015 Mahindra Scorpio S10 4WD,950000,15.4 kmpl
6958,2003 Hyundai Accent GLS 1.6 ABS,80000,14.4 kmpl
6959,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,2711000,13.6 kmpl
6960,2019 Lexus ES 300h,5150000,22.37 kmpl
6961,2017 Jaguar XF 2.0 Diesel Portfolio,3200000,19.33 kmpl
6962,2015 Tata Safari Storme EX,503000,14.1 kmpl
6963,2019 Volvo XC40 D4 Inscription BSIV,3800000,18.0 kmpl
6964,2016 Toyota Camry 2.5 Hybrid,2000000,19.16 kmpl
6965,2013 Maruti Wagon R LXI,225000,21.79 kmpl
6966,2018 Maruti Baleno Alpha 1.3,740000,27.39 kmpl
6967,2016 Honda Jazz VX,550000,18.2 kmpl
6968,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,12.99 kmpl
6969,2019 Maruti Swift AMT VVT VXI,650000,22.0 kmpl
6970,2017 Toyota Etios VX,625000,16.78 kmpl
6971,2018 Maruti Swift AMT ZXI,600000,22.0 kmpl
6972,2017 Hyundai Grand i10 1.2 CRDi Sportz,450000,24.0 kmpl
6973,2019 BMW X4 M Sport X xDrive20d,5400000,16.78 kmpl
6974,2019 BMW X4 M Sport X xDrive20d,5500000,16.78 kmpl
6975,2019 Honda Amaze V CVT Petrol BSIV,779000,19.0 kmpl
6976,2016 Skoda Rapid 1.6 MPI AT Elegance,645000,14.3 kmpl
6977,2018 Volvo V40 D3 R-Design,2475000,16.8 kmpl
6978,2014 Maruti Swift Dzire VDI,420000,23.4 kmpl
6979,2018 Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,899000,25.1 kmpl
6980,2019 Datsun GO T Petrol,459999,19.83 kmpl
6981,2008 Hyundai Verna CRDi SX ABS,150000,18.1 kmpl
6982,2017 Renault KWID 1.0 RXT Optional,350000,23.01 kmpl
6983,2015 Toyota Etios GD,509999,23.59 kmpl
6984,2013 Mahindra Bolero 2011-2019 Plus Non AC,500000,15.96 kmpl
6985,2017 Tata Zest Revotron 1.2 XT,370000,17.57 kmpl
6986,2013 Maruti Alto K10 2010-2014 VXI,240000,20.92 kmpl
6987,2015 Hyundai i20 Asta 1.4 CRDi,530000,22.54 kmpl
6988,2015 Mahindra Scorpio S10 7 Seater,1000000,15.4 kmpl
6989,2018 Toyota Innova Crysta 2.4 VX MT BSIV,1600000,13.68 kmpl
6990,2014 Hyundai i10 Sportz,350000,20.36 kmpl
6991,2015 Mahindra XUV500 AT W10 FWD,1100000,16.0 kmpl
6992,2011 Hyundai i20 1.2 Magna,220000,18.5 kmpl
6993,2015 Hyundai Grand i10 Sportz,350000,18.9 kmpl
6994,2013 Maruti Swift LDI,370000,22.9 kmpl
6995,2014 Maruti Swift Dzire VXi,220000,17.5 kmpl
6996,2013 Chevrolet Sail Hatchback LT ABS,200000,22.1 kmpl
6997,2017 Mahindra KUV 100 mFALCON D75 K4,400000,25.32 kmpl
6998,2009 Fiat Grande Punto 1.4 Emotion,150000,14.6 kmpl
6999,2020 Toyota Innova Crysta 2.7 GX AT 8 STR,1500000,10.75 kmpl
7000,2011 Maruti Omni 5 Seater BSIV,130000,14.0 kmpl
7001,2013 Maruti Alto 800 LXI,185000,22.74 kmpl
7002,2010 Hyundai Santro Xing (Non-AC),110000,0.0 kmpl
7003,2012 Mahindra Bolero 2011-2019 SLX,450000,15.96 kmpl
7004,2018 Hyundai Grand i10 1.2 Kappa Sportz BSIV,500000,18.9 kmpl
7005,2017 Ford EcoSport 1.5 Petrol Ambiente BSIV,570000,17.0 kmpl
7006,2013 Mahindra XUV500 W6 2WD,650000,15.1 kmpl
7007,2012 Toyota Fortuner 3.0 Diesel,1680000,11.5 kmpl
7008,2018 Datsun RediGO T Option,250000,22.7 kmpl
7009,2014 Hyundai i10 Sportz,320000,20.36 kmpl
7010,2017 Maruti Wagon R AMT VXI,440000,20.51 kmpl
7011,2013 Hyundai i20 Sportz 1.2,315000,18.5 kmpl
7012,2007 Hyundai Santro Xing ABS,100000,
7013,2010 Tata Manza Aura Quadrajet,202999,18.8 kmpl
7014,2012 Hyundai EON Era,179000,21.1 kmpl
7015,2008 Hyundai i10 Magna 1.2 iTech SE,140000,20.36 kmpl
7016,2008 Maruti Zen Estilo 1.1 LXI BSIII,150000,18.2 kmpl
7017,2011 Mahindra Bolero SLX,440000,13.6 kmpl
7018,2011 Ford Figo Diesel EXI,250000,20.0 kmpl
7019,2014 Maruti Wagon R VXI BS IV,330000,20.51 kmpl
7020,2010 Ford Figo Petrol ZXI,250000,15.6 kmpl
7021,2012 Hyundai i20 Magna,335000,18.5 kmpl
7022,2016 Mahindra XUV500 W4,1025000,16.0 kmpl
7023,2012 Hyundai i20 1.2 Magna,320000,18.5 kmpl
7024,2015 Maruti Ciaz RS ZXi Plus,550000,20.73 kmpl
7025,2018 Honda WR-V i-DTEC VX,800000,25.5 kmpl
7026,2017 Tata Tiago 1.2 Revotron XZ,380000,23.84 kmpl
7027,2013 Renault Duster 85PS Diesel RxL Optional,400000,20.46 kmpl
7028,2016 Maruti Wagon R VXI BS IV,375000,20.51 kmpl
7029,2017 Honda City i-VTEC CVT ZX,1100000,18.0 kmpl
7030,2018 Hyundai i20 1.2 Spotz,650000,18.6 kmpl
7031,2014 Nissan Micra XV CVT,361000,19.34 kmpl
7032,2012 Hyundai EON D Lite Plus,140000,21.1 kmpl
7033,2019 Hyundai Xcent 1.2 VTVT S,550000,20.14 kmpl
7034,2019 Honda Amaze VX Petrol BSIV,670000,19.5 kmpl
7035,2017 Maruti Vitara Brezza ZDi Plus,880000,24.3 kmpl
7036,2018 Ford EcoSport 1.5 Diesel Titanium Plus BSIV,950000,23.0 kmpl
7037,2010 Chevrolet Cruze LTZ,300000,18.3 kmpl
7038,2017 Honda City i-VTEC CVT VX,1150000,18.0 kmpl
7039,2015 Chevrolet Cruze LTZ AT,450000,14.81 kmpl
7040,2018 Maruti Eeco CNG 5 Seater AC BSIV,375000,21.94 km/kg
7041,2016 Maruti Ertiga BSIV VXI,600000,17.5 kmpl
7042,2008 Toyota Innova 2.5 V Diesel 8-seater,700000,12.8 kmpl
7043,2018 Hyundai Xcent 1.2 CRDi S,600000,25.4 kmpl
7044,2014 Mahindra Xylo H9,630000,14.02 kmpl
7045,2016 Maruti Ciaz ZXi,590000,20.73 kmpl
7046,2019 Hyundai Santro Era,420000,20.3 kmpl
7047,2016 Mitsubishi Pajero Sport 4X4 Dual Tone,1950000,13.5 kmpl
7048,2013 Tata New Safari Dicor EX 4X2 BS IV,541000,13.93 kmpl
7049,2015 Toyota Innova 2.5 G (Diesel) 7 Seater,900000,12.99 kmpl
7050,2015 Toyota Innova 2.5 G (Diesel) 7 Seater,900000,12.99 kmpl
7051,2009 Tata Manza Aura Quadrajet,250000,18.8 kmpl
7052,2019 Mahindra Bolero 2011-2019 SLE,670000,15.96 kmpl
7053,2019 Tata Tigor 2017-2020 XZ Plus,530000,20.3 kmpl
7054,2012 Chevrolet Beat Diesel LT,150000,25.44 kmpl
7055,2013 Mahindra XUV500 W8 2WD,550000,15.1 kmpl
7056,2015 Mahindra Scorpio 1.99 S4 Plus,650000,15.4 kmpl
7057,2012 Tata Indica Vista TDI LX,180000,19.4 kmpl
7058,2015 Mahindra Thar 4X4,585000,16.55 kmpl
7059,2013 Hyundai i20 Magna,345000,18.5 kmpl
7060,2013 Maruti Swift VDI,350000,22.9 kmpl
7061,2016 Honda BRV i-VTEC V MT,725000,15.4 kmpl
7062,2012 Tata Venture EX 7 Str,250000,15.42 kmpl
7063,2002 Maruti 800 AC,45000,16.1 kmpl
7064,2007 Toyota Innova 2.5 E Diesel MS 8-seater,409999,12.8 kmpl
7065,2017 Renault KWID 1.0 RXT Optional,325000,23.01 kmpl
7066,2016 Maruti Alto K10 VXI,350000,23.95 kmpl
7067,2012 Maruti Alto LXi,180000,19.7 kmpl
7068,2010 Fiat Linea Emotion,150000,16.0 kmpl
7069,2020 Maruti Dzire ZXI,700000,23.26 kmpl
7070,2016 Maruti Ciaz ZDi Plus SHVS,795000,28.09 kmpl
7071,2019 Mahindra Thar CRDe,950000,16.55 kmpl
7072,2018 Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,885000,21.5 kmpl
7073,2011 Maruti Ritz LDi,160000,21.1 kmpl
7074,2012 Hyundai i20 1.4 CRDi Asta,300000,23.0 kmpl
7075,2018 Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,950000,21.5 kmpl
7076,2015 Maruti Ertiga VDI,549000,20.77 kmpl
7077,2018 Audi A3 35 TDI Premium Plus,3000000,20.38 kmpl
7078,2015 Toyota Innova 2.5 VX (Diesel) 7 Seater,1200000,12.99 kmpl
7079,2012 Renault Fluence Diesel E4,570000,21.8 kmpl
7080,2017 Mahindra Thar CRDe,800000,16.55 kmpl
7081,2009 Hyundai Verna CRDi SX ABS,375000,18.1 kmpl
7082,2009 Mahindra Bolero SLX,300000,13.6 kmpl
7083,2013 Toyota Etios G,350000,16.78 kmpl
7084,2011 Mahindra Bolero SLX,400000,13.6 kmpl
7085,2015 Volkswagen Polo 1.5 TDI Comfortline,434999,20.14 kmpl
7086,2012 Toyota Etios Liva G,200000,
7087,2015 Maruti Alto 800 LXI,260000,22.74 kmpl
7088,2013 Maruti Swift VDI,450000,22.9 kmpl
7089,2013 Hyundai Verna 1.6 SX,459999,22.32 kmpl
7090,2011 Maruti Ritz VDi ABS,210000,21.1 kmpl
7091,2015 Maruti Swift Dzire VXI,540000,20.85 kmpl
7092,2017 Maruti Ertiga SHVS VDI,710000,24.52 kmpl
7093,2018 Maruti Alto 800 VXI,285000,24.7 kmpl
7094,2019 Hyundai Creta 1.4 E Plus,990000,22.1 kmpl
7095,2017 Tata Indigo CS eGLS BS IV,362000,15.64 kmpl
7096,2017 Ford EcoSport 1.5 Diesel Titanium Plus BSIV,880000,23.0 kmpl
7097,2017 Mahindra TUV 300 mHAWK100 T8,700000,18.49 kmpl
7098,2016 Mahindra Bolero 2011-2019 DI - AC BS III,600000,15.96 kmpl
7099,2015 Nissan Terrano XL,700000,13.24 kmpl
7100,2016 Tata Tiago 1.05 Revotorq XT,400000,27.28 kmpl
7101,2010 Hyundai Accent Executive LPG,165000,13.2 km/kg
7102,2007 Toyota Innova 2.5 V Diesel 8-seater,350000,12.8 kmpl
7103,2014 Maruti Ertiga VXI,425000,16.02 kmpl
7104,2012 Hyundai Santro Xing GL Plus,180000,17.92 kmpl
7105,2012 Maruti Alto K10 2010-2014 VXI,170000,20.92 kmpl
7106,2014 Mahindra Bolero 2011-2019 DI NON AC BS III White,370000,15.96 kmpl
7107,2018 Maruti Vitara Brezza VDi,800000,24.3 kmpl
7108,2017 Ford EcoSport 1.5 Diesel Titanium Plus BSIV,900000,23.0 kmpl
7109,2013 Maruti Swift VDI,390000,22.9 kmpl
7110,2014 Maruti Swift Dzire VDI,445000,23.4 kmpl
7111,2014 Maruti Swift Dzire VDI,459999,23.4 kmpl
7112,2013 Maruti Wagon R LXI DUO BS IV,275000,14.4 km/kg
7113,2009 Maruti Ritz VDi,200000,21.1 kmpl
7114,2012 Maruti Swift Dzire 1.2 Lxi BSIV,350000,17.5 kmpl
7115,2007 Tata New Safari 4X4 EXI BSIII,95000,12.0 kmpl
7116,2014 Toyota Etios GD,550000,23.59 kmpl
7117,2016 Chevrolet Tavera Neo 3 LT 9 Seats BSIII,900000,13.58 kmpl
7118,2013 Tata Sumo Gold GX,350000,15.3 kmpl
7119,2015 Nissan Micra XV CVT,325000,19.34 kmpl
7120,2014 Hyundai Grand i10 Asta,455999,18.9 kmpl
7121,2008 Maruti Alto STD,129000,19.7 kmpl
7122,2017 Maruti Alto 800 LXI,254000,24.7 kmpl
7123,2014 Ford Ecosport 1.5 Diesel Trend,570000,21.7 kmpl
7124,2018 Nissan Terrano XL D Option,840000,19.87 kmpl
7125,2010 Tata New Safari DICOR 2.2 GX 4x2 BS IV,235000,13.93 kmpl
7126,2016 Mahindra TUV 300 T6,700000,18.49 kmpl
7127,2010 Hyundai Santro Xing ABS,140000,
7128,2018 Hyundai Grand i10 1.2 Kappa Sportz Option,528000,18.9 kmpl
7129,2017 Jeep Compass 2.0 Limited Option,1500000,17.1 kmpl
7130,2016 Mahindra Bolero 2011-2019 DI - AC BS III,560000,15.96 kmpl
7131,2016 Mahindra Bolero 2011-2019 DI - AC BS III,600000,15.96 kmpl
7132,2007 Chevrolet Aveo U-VA 1.2 LS,102000,15.26 kmpl
7133,2014 Mahindra XUV500 W8 AWD,750000,15.1 kmpl
7134,2010 Chevrolet Aveo U-VA 1.2,148000,14.7 kmpl
7135,2015 Maruti Baleno Alpha 1.2,650000,21.4 kmpl
7136,2012 Volkswagen Polo Petrol Trendline 1.2L,310000,16.47 kmpl
7137,2014 Hyundai Xcent 1.2 Kappa S,480000,19.1 kmpl
7138,2018 Maruti Alto 800 VXI,320000,24.7 kmpl
7139,2015 Honda City i VTEC VX,750000,17.4 kmpl
7140,2017 Nissan Micra Active XL Petrol,370000,19.49 kmpl
7141,2013 Maruti Swift ZXI,320000,18.6 kmpl
7142,2013 Maruti Swift ZXI,420000,18.6 kmpl
7143,2010 Maruti Swift Dzire VXi,240000,17.5 kmpl
7144,2017 Datsun RediGO 1.0 S,220000,22.5 kmpl
7145,2016 Tata Tiago 1.2 Revotron XM,350000,23.84 kmpl
7146,2018 Honda Amaze VX i-DTEC,675000,25.8 kmpl
7147,2016 Toyota Etios Cross 1.2L G,434999,18.16 kmpl
7148,2006 Honda CR-V 2.0L 2WD AT,125000,13.1 kmpl
7149,2016 Mahindra KUV 100 mFALCON G80 K6 AW,400000,18.15 kmpl
7150,2015 Chevrolet Tavera Neo 3 9 Str BSIII,425000,13.58 kmpl
7151,2010 Maruti Ritz Genus VDi,311000,21.1 kmpl
7152,2015 Chevrolet Tavera Neo 3 10 Seats BSIII,509999,13.58 kmpl
7153,2015 Ford Figo 1.5D Trend MT,530000,25.83 kmpl
7154,2008 Skoda Octavia Rider 1.9 AT TDI,210000,18.7 kmpl
7155,2019 Mahindra Marazzo M2 8Str BSIV,977000,17.3 kmpl
7156,2018 Maruti Wagon R VXI BS IV,440000,20.51 kmpl
7157,2018 Maruti Wagon R VXI BS IV,440000,20.51 kmpl
7158,2018 Hyundai i20 1.2 Spotz,655000,18.6 kmpl
7159,2016 Renault KWID RXT Optional,295000,25.17 kmpl
7160,2018 Hyundai i20 1.2 Spotz,655000,18.6 kmpl
7161,2007 Hyundai Getz 1.1 GLE,65000,15.0 kmpl
7162,2017 Tata Hexa XT,1200000,17.6 kmpl
7163,2017 Tata Hexa XM,1251000,17.6 kmpl
7164,2010 Tata Indigo CS eLX BS IV,200000,23.03 kmpl
7165,2016 Hyundai i20 Active 1.4 SX with AVN,750000,21.19 kmpl
7166,2018 Maruti Wagon R LXI CNG,400000,26.6 km/kg
7167,2017 Honda Amaze E i-VTEC,475000,17.8 kmpl
7168,2012 Tata Indigo VS,110000,17.8 kmpl
7169,2017 Renault KWID 1.0 RXT 02 Anniversary Edition,350000,23.01 kmpl
7170,2016 Maruti Swift Dzire Tour LDI,450000,23.4 kmpl
7171,2010 Tata Indigo LX,150000,17.0 kmpl
7172,2009 Tata Indica V2 DLS,80000,17.2 kmpl
7173,2015 Hyundai i20 Magna 1.2,430000,18.6 kmpl
7174,2017 Toyota Innova Crysta 2.4 ZX MT BSIV,1450000,13.68 kmpl
7175,2011 Chevrolet Cruze LTZ,360000,18.3 kmpl
7176,2017 Tata Hexa XTA,1445000,17.6 kmpl
7177,2016 Honda City i DTec S,670000,26.0 kmpl
7178,2016 Mercedes-Benz GLA Class 200,2000000,13.7 kmpl
7179,2010 Maruti Swift 1.3 VXi,175000,
7180,2015 Honda Amaze S i-Dtech,440000,25.8 kmpl
7181,2012 Hyundai i20 1.4 CRDi Era,254999,23.0 kmpl
7182,2018 Datsun GO Plus A Option Petrol,530000,19.02 kmpl
7183,2016 Mahindra XUV500 W4 1.99 mHawk,890000,16.0 kmpl
7184,2013 Volkswagen Polo Diesel Comfortline 1.2L,280000,22.07 kmpl
7185,2017 Maruti Swift Dzire AMT ZXI,725000,21.21 kmpl
7186,2016 Mahindra TUV 300 T8,700000,18.49 kmpl
7187,2007 Maruti Zen Estilo LXI BSIII,90000,18.2 kmpl
7188,2015 Hyundai i10 Magna 1.1L,287000,19.81 kmpl
7189,2018 Hyundai Creta 1.6 SX Automatic,1380000,14.8 kmpl
7190,2013 Toyota Innova 2.5 G (Diesel) 7 Seater,750000,12.99 kmpl
7191,2016 Hyundai Verna 1.4 VTVT,650000,17.43 kmpl
7192,2013 Maruti Wagon R LXI BS IV,240000,20.51 kmpl
7193,2013 Hyundai EON Magna Optional,290000,21.1 kmpl
7194,2014 Hyundai EON Era Plus,229999,21.1 kmpl
7195,2016 Honda City i DTec VX,1000000,26.0 kmpl
7196,2012 Hyundai Santro Xing GL Plus,200000,17.92 kmpl
7197,2004 Maruti Alto LX,90000,19.7 kmpl
7198,2012 Hyundai i20 1.4 CRDi Asta,330000,23.0 kmpl
7199,2009 Maruti Ritz VDi ABS,200000,21.1 kmpl
7200,2018 Mahindra KUV 100 D75 K4 Plus,420000,25.32 kmpl
7201,2009 Maruti Swift Dzire VDi,260000,19.3 kmpl
7202,2016 Hyundai i20 Sportz 1.2,590000,18.6 kmpl
7203,2015 Maruti Swift VDI BSIV,545000,25.2 kmpl
7204,2011 Maruti Wagon R LXI BS IV,210000,18.9 kmpl
7205,2008 Honda City 2017-2020 GXi,185000,17.7 kmpl
7206,2006 Maruti Wagon R LXI,125000,18.9 kmpl
7207,2014 Hyundai EON Magna Plus,280000,21.1 kmpl
7208,2005 Hyundai Santro Xing XO,99000,
7209,2005 Maruti Wagon R VXI,98000,18.9 kmpl
7210,2009 Tata Indica Vista Aqua 1.4 TDI,100000,17.0 kmpl
7211,2013 Mahindra Verito Vibe 1.5 dCi D4,250000,20.8 kmpl
7212,2010 Toyota Fortuner 3.0 Diesel,750000,11.5 kmpl
7213,2007 Chevrolet Optra Magnum 2.0 LS,160000,16.52 kmpl
7214,2013 Hyundai Verna 1.6 CRDi EX AT,509999,22.32 kmpl
7215,2009 Tata Indica V2 DL,95000,17.88 kmpl
7216,2014 Hyundai Verna 1.6 SX CRDi (O),525000,22.32 kmpl
7217,2017 Datsun RediGO 1.0 T Option,278000,22.5 kmpl
7218,1997 Maruti 800 AC,50000,16.1 kmpl
7219,2011 Volkswagen Polo Diesel Highline 1.2L,254999,22.07 kmpl
7220,2019 Maruti Swift Dzire VXI 1.2,675000,21.21 kmpl
7221,2016 Maruti Swift Dzire VDI,600000,26.59 kmpl
7222,2018 Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,950000,25.1 kmpl
7223,2007 Honda City 2017-2020 GXi,229999,17.7 kmpl
7224,2009 Toyota Innova 2.5 G4 Diesel 8-seater,600000,12.8 kmpl
7225,2017 Maruti Alto 800 VXI Optional,330000,24.7 kmpl
7226,2017 Maruti Alto K10 VXI,350000,23.95 kmpl
7227,2016 Volkswagen Polo 1.2 MPI Comfortline,560000,16.2 kmpl
7228,2017 Maruti Wagon R VXI BS IV,440000,20.51 kmpl
7229,2011 Maruti A-Star Vxi,220000,19.0 kmpl
7230,2017 Maruti Swift Dzire ZDI,750000,28.4 kmpl
7231,2015 Mahindra XUV500 W6 2WD,800000,15.1 kmpl
7232,2007 Tata Indica V2 DLX,59259,17.2 kmpl
7233,2018 Maruti Baleno Zeta Automatic,740000,21.4 kmpl
7234,2019 Maruti Ignis 1.2 AMT Zeta BSIV,570000,20.89 kmpl
7235,2017 Maruti Wagon R AMT VXI,430000,20.51 kmpl
7236,2016 Maruti Vitara Brezza ZDi Plus Dual Tone,800000,24.3 kmpl
7237,2015 Hyundai Grand i10 CRDi Sportz,450000,24.0 kmpl
7238,2013 Maruti Swift Dzire VDI,420000,23.4 kmpl
7239,2015 Mahindra Thar DI 4X4 PS,750000,18.06 kmpl
7240,2019 Maruti Baleno RS 1.0 Petrol,780000,21.1 kmpl
7241,2011 Volkswagen Polo Diesel Comfortline 1.2L,320000,22.07 kmpl
7242,2017 Mahindra KUV 100 D75 K8 Dual Tone,690000,25.32 kmpl
7243,2012 Maruti Swift Dzire ZDi,375000,19.3 kmpl
7244,2017 Ford Figo 1.2P Sports Edition MT,620000,18.12 kmpl
7245,2015 Hyundai Santro Xing GL Plus LPG,300000,13.45 km/kg
7246,2016 Maruti Eeco 7 Seater Standard BSIV,370000,15.37 kmpl
7247,2013 Mahindra Thar 4X4,770000,16.55 kmpl
7248,2014 Hyundai Xcent 1.2 Kappa S Option,500000,19.1 kmpl
7249,2017 Mahindra KUV 100 mFALCON D75 K2,450000,25.32 kmpl
7250,2013 Hyundai Santro Xing GL Plus,195000,17.92 kmpl
7251,2018 Maruti Wagon R AMT VXI Option,472000,20.51 kmpl
7252,2014 Maruti Alto K10 VXI,250000,23.95 kmpl
7253,2011 Chevrolet Beat Diesel,165000,25.44 kmpl
7254,2018 Tata Zest Quadrajet 1.3 XT,525000,20.65 kmpl
7255,2003 Maruti Wagon R LXI,145000,18.9 kmpl
7256,2013 Tata Indica Vista Quadrajet 90 VX,325000,22.3 kmpl
7257,2017 Mahindra Bolero Power Plus ZLX,660000,16.5 kmpl
7258,2014 Ford Classic 1.4 Duratorq CLXI,310000,19.68 kmpl
7259,2008 Mahindra Bolero SLX 4WD BSIII,250000,13.6 kmpl
7260,2014 Ford Classic 1.4 Duratorq CLXI,330000,19.68 kmpl
7261,2012 Ford Figo Diesel Titanium,250000,20.0 kmpl
7262,2017 Mahindra NuvoSport N8 AMT,650000,17.45 kmpl
7263,2016 Maruti Alto K10 VXI,305000,23.95 kmpl
7264,2015 Maruti Ciaz VDi Plus,600000,26.21 kmpl
7265,2015 Maruti Wagon R LXI Optional,280000,20.51 kmpl
7266,2011 Tata Indigo CR4,153000,23.57 kmpl
7267,2018 Mahindra TUV 300 mHAWK100 T8,700000,18.49 kmpl
7268,2017 Renault KWID RXL,325000,25.17 kmpl
7269,2016 Maruti Alto K10 VXI,305000,23.95 kmpl
7270,2006 Maruti 800 AC,155000,16.1 kmpl
7271,2012 Maruti Alto K10 2010-2014 VXI,235000,20.92 kmpl
7272,2005 Tata Indica DLS,60000,
7273,2016 Maruti Swift VXI Optional,500000,20.4 kmpl
7274,2004 Mahindra Bolero DI,120000,13.6 kmpl
7275,2009 Maruti Estilo LXI,155000,
7276,2016 Skoda Rapid 1.5 TDI AT Style Plus,675000,21.66 kmpl
7277,2014 Toyota Innova 2.5 Z Diesel 7 Seater BS IV,950000,12.99 kmpl
7278,2018 Mahindra XUV500 W5 BSIV,1051000,15.1 kmpl
7279,2016 Volkswagen Polo 2015-2019 GT 1.5 TDI,591000,21.49 kmpl
7280,2015 Hyundai i20 Asta 1.4 CRDi,585000,22.54 kmpl
7281,2017 Honda City i-VTEC CVT ZX,1025000,18.0 kmpl
7282,2014 Maruti Swift VDI,450000,28.4 kmpl
7283,2014 Hyundai i20 2015-2017 Sportz 1.4 CRDi,484999,22.54 kmpl
7284,2018 Honda Jazz 1.5 S i DTEC,650000,27.3 kmpl
7285,2014 Maruti Swift Dzire VDI,434999,28.4 kmpl
7286,2011 Ford Figo Diesel EXI,195000,20.0 kmpl
7287,2019 Mahindra Marazzo M2 8Str BSIV,1000000,17.3 kmpl
7288,2013 Hyundai Elantra CRDi SX Option AT,650000,14.62 kmpl
7289,2014 Chevrolet Beat Diesel LS,190000,25.44 kmpl
7290,2013 Maruti Swift Dzire ZDI,409999,28.4 kmpl
7291,2016 Hyundai Creta 1.6 CRDi AT SX Plus,1050000,17.01 kmpl
7292,2015 Volkswagen Vento 1.5 TDI Highline Plus AT,651000,22.15 kmpl
7293,2015 Maruti SX4 S Cross 2015-2017 DDiS 200 Alpha,650000,23.65 kmpl
7294,2017 Skoda Rapid 1.5 TDI Ambition Plus,750000,21.14 kmpl
7295,2012 Volkswagen Passat Highline DSG S (Spl. Edition),799000,14.3 kmpl
7296,2010 Skoda Octavia Ambiente 1.9 TDI,355000,18.7 kmpl
7297,2015 Hyundai Verna 1.6 CRDi S Option,600000,23.9 kmpl
7298,2018 Maruti Swift VDI,685000,28.4 kmpl
7299,2018 Maruti Swift LDI,509999,28.4 kmpl
7300,2012 Maruti Alto Green LXi (CNG),150000,26.83 km/kg
7301,2017 Maruti Swift Dzire Vdi BSIV,650000,19.3 kmpl
7302,2012 Toyota Etios VD,400000,
7303,2012 Mahindra XUV500 W8 4WD,675000,15.1 kmpl
7304,2018 Renault KWID AMT,319000,24.04 kmpl
7305,2019 Honda Amaze S Petrol BSIV,640000,19.5 kmpl
7306,2017 Hyundai i20 1.2 Asta,650000,18.6 kmpl
7307,2015 Maruti Ertiga VDI,650000,20.77 kmpl
7308,2010 Maruti Alto Green LXi (CNG),155000,26.83 km/kg
7309,2015 Maruti Ertiga VDI,650000,20.77 kmpl
7310,2008 Maruti Swift Ldi BSIII,175000,17.8 kmpl
7311,2014 Hyundai Grand i10 CRDi SportZ Edition,375000,24.0 kmpl
7312,2014 Hyundai Grand i10 CRDi Asta,430000,24.0 kmpl
7313,2008 Tata Indica V2 DLS,65000,17.2 kmpl
7314,2009 Hyundai Accent GLS,150000,13.2 kmpl
7315,2019 Hyundai i20 Active S Petrol,620000,17.19 kmpl
7316,2013 Ford Classic 1.6 Duratec CLXI,250000,14.09 kmpl
7317,2011 Maruti Ritz VDi,275000,21.1 kmpl
7318,2013 Chevrolet Tavera Neo 3 LS 10 Seats BSIII,454000,13.58 kmpl
7319,2017 Mahindra TUV 300 T4,600000,18.49 kmpl
7320,2011 Volkswagen Vento Diesel Comfortline,400000,20.54 kmpl
7321,2007 Mahindra Renault Logan 1.5 DLE Diesel,180000,19.2 kmpl
